Marca temporal,"Al final de la asignatura, ¿crees que el método de clase invertida es mejor para el estudiante que la clase tradicional?","¿Que crees que has aprendido, es decir, que sabes lo suficiente como para seguir usándolo en el resto de las asignaturas o tu desempeño profesional?",¿Qué te parece el sistema de evaluación automática usando integración continua?,"Si tuvieras que hacer algún cambio a la asignatura, tanto a la materia como a la forma de impartirla, ¿cuál sería?",Sugerencias
19/12/2019 10:25:23,Sí,"Desarrollo basado en test, Microservicios, Un nuevo lenguaje, Contenedores, Gestores de tareas como Gulp o Makefile, Uso extensivo de Git y GitHub, Uso de cloud, Integración continua","Me ayuda a entregar una práctica con menos errores., Me ayuda a tener una retroalimentación inmediata sobre si mi práctica está bien o mal.","Eliminar los objetivos y su entrega, Añadir hackatones al final de la asignatura para terminar el proyecto como otros años, Añadir un curso específico antes de empezar la asignatura para clarificar, por ejemplo, el uso de Git, o el desarrollo basado en tests",
19/12/2019 12:19:53,Sí,"Desarrollo basado en test, Microservicios, Contenedores, Herramientas de provisionamiento como Ansible, Gestores de tareas como Gulp o Makefile, Uso extensivo de Git y GitHub, Uso de cloud, Integración continua",Me ayuda a tener una retroalimentación inmediata sobre si mi práctica está bien o mal.,"Eliminar la materia de teoría y sustituirla por mejores descripciones de los hitos y enlaces desde los mismos, Añadir más seminarios, con más periodicidad, Añadir más tecnologías como Kubernetes",
6/01/2020 21:00:29,No,"Desarrollo basado en test, Microservicios, Contenedores, Herramientas de provisionamiento como Ansible, Uso extensivo de Git y GitHub, Uso de cloud, Integración continua",Me ayuda a tener una retroalimentación inmediata sobre si mi práctica está bien o mal.,"Eliminar la materia de teoría y sustituirla por mejores descripciones de los hitos y enlaces desde los mismos, Coordinarse mejor con otras asignaturas de forma que impartieran la base para esta, Añadir un curso específico antes de empezar la asignatura para clarificar, por ejemplo, el uso de Git, o el desarrollo basado en tests",
6/01/2020 23:12:37,Sí,"Microservicios, Contenedores, Herramientas de provisionamiento como Ansible, Gestores de tareas como Gulp o Makefile, Uso de cloud, Integración continua",Me ayuda a tener una retroalimentación inmediata sobre si mi práctica está bien o mal.,"Eliminar los objetivos y su entrega, Eliminar la materia de teoría y sustituirla por mejores descripciones de los hitos y enlaces desde los mismos, Coordinarse mejor con otras asignaturas de forma que impartieran la base para esta, Añadir un curso específico antes de empezar la asignatura para clarificar, por ejemplo, el uso de Git, o el desarrollo basado en tests",
10/01/2020 13:43:52,Sí,"Desarrollo basado en test, Microservicios, Un nuevo lenguaje, Contenedores, Herramientas de provisionamiento como Ansible, Gestores de tareas como Gulp o Makefile, Uso extensivo de Git y GitHub, Uso de cloud, Integración continua","Me ayuda a entregar una práctica con menos errores., Me ayuda a tener una retroalimentación inmediata sobre si mi práctica está bien o mal.","Eliminar la materia de teoría y sustituirla por mejores descripciones de los hitos y enlaces desde los mismos, Añadir más seminarios, con más periodicidad, Coordinarse mejor con otras asignaturas de forma que impartieran la base para esta, Añadir hackatones al final de la asignatura para terminar el proyecto como otros años, Añadir un curso específico antes de empezar la asignatura para clarificar, por ejemplo, el uso de Git, o el desarrollo basado en tests",
10/01/2020 18:43:16,No,,"Me ayuda a entregar una práctica con menos errores., Me complica la vida porque no entiendo los errores.","Eliminar los objetivos y su entrega, Eliminar la materia de teoría y sustituirla por mejores descripciones de los hitos y enlaces desde los mismos, Añadir más seminarios, con más periodicidad, Añadir más tecnologías como Kubernetes, Añadir un curso específico antes de empezar la asignatura para clarificar, por ejemplo, el uso de Git, o el desarrollo basado en tests",
16/01/2020 6:56:32,No,"Desarrollo basado en test, Uso extensivo de Git y GitHub",Me complica la vida porque no entiendo los errores.,"Eliminar la materia de teoría y sustituirla por mejores descripciones de los hitos y enlaces desde los mismos, Añadir un curso específico antes de empezar la asignatura para clarificar, por ejemplo, el uso de Git, o el desarrollo basado en tests",
16/01/2020 8:00:31,Sí,"Desarrollo basado en test, Microservicios, Contenedores, Herramientas de provisionamiento como Ansible, Uso extensivo de Git y GitHub, Uso de cloud, Integración continua",Me ayuda a entregar una práctica con menos errores.,"Añadir un curso específico antes de empezar la asignatura para clarificar, por ejemplo, el uso de Git, o el desarrollo basado en tests",
16/01/2020 9:41:43,Sí,"Desarrollo basado en test, Microservicios, Un nuevo lenguaje, Contenedores, Herramientas de provisionamiento como Ansible, Gestores de tareas como Gulp o Makefile, Uso extensivo de Git y GitHub, Uso de cloud, Integración continua","Me ayuda a entregar una práctica con menos errores., Me ayuda a tener una retroalimentación inmediata sobre si mi práctica está bien o mal.","Eliminar los objetivos y su entrega, Coordinarse mejor con otras asignaturas de forma que impartieran la base para esta, Añadir más tecnologías como Kubernetes, Añadir hackatones al final de la asignatura para terminar el proyecto como otros años, Añadir un curso específico antes de empezar la asignatura para clarificar, por ejemplo, el uso de Git, o el desarrollo basado en tests",
16/01/2020 9:49:51,No,"Desarrollo basado en test, Microservicios, Contenedores, Gestores de tareas como Gulp o Makefile, Uso extensivo de Git y GitHub, Integración continua","Me ayuda a entregar una práctica con menos errores., Me complica la vida porque no entiendo los errores.","Eliminar la materia de teoría y sustituirla por mejores descripciones de los hitos y enlaces desde los mismos, Añadir un curso específico antes de empezar la asignatura para clarificar, por ejemplo, el uso de Git, o el desarrollo basado en tests",
