Marca temporal,Objetivo alcanzado,Objetivo que se desearía alcanzar,Circunstancias personales que contribuyan a la consecución (o no) de los objetivos,Conocimientos adquiridos gracias a la asignatura,¿Qué ha contribuido a la consecución de los objetivos de aprendizaje?,¿Cuales han sido los principales obstáculos para conseguir tus objetivos de aprendizaje?,Los objetivos alcanzados en esta asignatura me ayudarán a encontrar trabajo como ingeniero/a de software,"A medio y largo plazo, recordaré los objetivos que he aprendido en la asignatura",Recomendaré esta asignatura a quien tenga la posibilidad de matricularse,Diferencia objetivos,,
16/12/2021 7:49:14,3,8,"No puedo asistir a clase de forma regular por cualquier circunstancia (no vivir en Granada, por ejemplo)","Git y GitHub, Desarrollo basado en test, Lenguaje de programación elegido en el proyecto, Herramientas de construcción/gestores de tareas/gestores de dependencias","Reenvío sin límite de los objetivos, Ausencia de fecha límite de los envíos","Falta de claridad en los enunciados de los objetivos de aprendizaje., Exigencias excesivas en la consecución de los objetivos., Carga de trabajo excesiva en otras asignaturas.",2,3,Sí,5,Mediana diferencia,"3,5"
16/12/2021 7:57:21,3,6,"Estoy trabajando/haciendo prácticas en una empresa de informática, No puedo asistir a clase de forma regular por cualquier circunstancia (no vivir en Granada, por ejemplo)","Desarrollo basado en test, Herramientas de construcción/gestores de tareas/gestores de dependencias, Buenas prácticas generales en programación","Reenvío sin límite de los objetivos, Retroalimientación rápida sobre los objetivos, Tests que tienen que pasar los objetivos previos a la corrección.","Exigencias excesivas en la consecución de los objetivos., Carga de trabajo excesiva en otras asignaturas., El proyecto elegido, habría necesitado más información para tomar esa decisión",4,5,No,3,Media diferencia,"3,65"
16/12/2021 8:11:33,3,7,"Estoy trabajando/haciendo prácticas en una empresa de informática, Tengo asignaturas atrasadas de otros años","Desarrollo basado en test, Lenguaje de programación elegido en el proyecto, Herramientas de construcción/gestores de tareas/gestores de dependencias, Conceptos de desarrollo ágil, Hacer revisiones de código","El dedicar el tiempo de clase al trabajo práctico en vez de a escuchar al profesor, Las explicaciones cortas que se hacían al principio de clase, Seminarios cortos a principios de la asignatura, Reenvío sin límite de los objetivos, Ausencia de fecha límite de los envíos, Retroalimentación del profesor en los objetivos, Tests que tienen que pasar los objetivos previos a la corrección., Clara aplicación práctica de los objetivos alcanzados","Carga de trabajo excesiva en otras asignaturas., El proyecto elegido, habría necesitado más información para tomar esa decisión, En el objetivo 2 no tuve retroalimentación adecuada por parte de la persona con la que trabajé., En el objetivo 2 tuve una carga de trabajo excesiva para ayudar a la persona que trabajaba en mi repositorio y/o falta de respuesta por parte de la misma",5,4,Sí,4,,
16/12/2021 8:54:45,3,6,"Situaciones de carácter personal, ansiedad por intentar terminar este año todas las asignaturas, y demás situaciones que han provocado que antes un situación que no esperaba me pusiera peor y no quisiera prestarle más atención a esto ","Git y GitHub, Desarrollo basado en test, Lenguaje de programación elegido en el proyecto, Trabajar con contenedores, Hacer revisiones de código, Buenas prácticas generales en programación, Comunicación de trabajo, gracias al objetivo 2, me ha parecido lo más importante para mi.","Reenvío sin límite de los objetivos, Retroalimentación del profesor en los objetivos, Apoyo de los compañeros de clase y explicaciones de los mismos, Tests que tienen que pasar los objetivos previos a la corrección., Compañeros dispuestos a ayudar","Falta de conocimientos previos en los mismos., Falta de claridad en los enunciados de los objetivos de aprendizaje., Falta de material para poder resolver los retos de los objetivos, Personalmente, no estaba acostumbrado a hacer las cosas sin un guion claro, entonces me ha costado más, pero esto es cosa mía",4,5,Sí,3,,
16/12/2021 11:51:13,3,6,Tengo asignaturas atrasadas de otros años,"Git y GitHub, Desarrollo basado en test, Herramientas de construcción/gestores de tareas/gestores de dependencias, Conceptos de desarrollo ágil, Hacer revisiones de código, Buenas prácticas generales en programación","Las explicaciones cortas que se hacían al principio de clase, Explicaciones a grupos pequeños bajo demanda, Seminarios cortos a principios de la asignatura, Reenvío sin límite de los objetivos, Retroalimentación del profesor en los objetivos, Retroalimientación rápida sobre los objetivos, Seguimiento personalizado por parte del profesor, Claridad en los guiones sobre los objetivos a superar, Clara aplicación práctica de los objetivos alcanzados","Falta de conocimientos previos en los mismos., Carga de trabajo excesiva en otras asignaturas., Retraso por parte del profesor en la corrección de algunos objetivos",5,5,Sí,3,,
17/12/2021 13:19:32,3,10,"Para empezar no seguido el ritmo de entrega por mala organización mía. También ha influido mucho, en mi caso, que las otras asignaturas tuvieran fecha límite de entrega y esta no, por lo que he ido quitándome lo ""urgente"". Con urgente me refiero a lo que tenía que entregar sí  o sí en una fecha determinada. Por otro lado, me atasqué bastante en el Objetivo 2 al centrarme en acabar el objetivo de otra persona en lugar de continuar con mi objetivo 3. En otra ocasión, sugeriría hacer esta forma de trabajar ""por parejas"" en objetivos superiores para no tener que depender en cierto modo de otra persona hasta haber alcanzado un mínimo de objetivos.","Git y GitHub, Lenguaje de programación elegido en el proyecto, Conceptos de desarrollo ágil, Hacer revisiones de código, Buenas prácticas generales en programación","Las explicaciones cortas que se hacían al principio de clase, Reenvío sin límite de los objetivos, Ausencia de fecha límite de los envíos, Retroalimentación del profesor en los objetivos, Apoyo de los compañeros de clase y explicaciones de los mismos, Retroalimientación rápida sobre los objetivos, Tests que tienen que pasar los objetivos previos a la corrección., Seguimiento personalizado por parte del profesor, Saber en qué momento de la asignatura se superan los objetivos mínimos para aprobar, La forma de impartir la asignatura, ya que considero que es muy positivo el poder enviar un objetivo, fallar, tener retroalimentación y la posibilidad de corregir y mejorar dicho objetivo. Considero que así se aprende más en lugar de entregar algo, obtener una nota y no poder seguir trabajando en ello.","Ausencia de fecha límite de entrega de los objetivos., Carga de trabajo excesiva en otras asignaturas., En el objetivo 2 tuve una carga de trabajo excesiva para ayudar a la persona que trabajaba en mi repositorio y/o falta de respuesta por parte de la misma",5,4,Sí,7,,
17/12/2021 13:56:52,3,10,"Tengo asignaturas atrasadas de otros años, Considero dos grandes influencias personales que me ha hecho no llegar a los objetivos que me hubiera gustado. Uno es la gran cantidad de carga semanal y continua por parte del resto de asignaturas (todas con plazos cerrados), en mi caso no solo las otras de 4º, sino también otra de 1º y otra de 2º, las cuales me han estado requiriendo prácticas, entregas, mini evaluaciones, así como exámenes parciales, los cuales si no apruebas, imposibilitan el aprobar la asignatura en la convocatoria ordinaria. Por lo que me he visto desbordado en muchos momentos y no he sabido organizarme bien para ir con todo a tiempo, dejando siempre penalizado lo que no me penaliza. Y la otra influencia, ha sido lo que al menos a nivel personal me frenó el objetivo 2, el depender de personas externas, estar en objetivos tan iniciales en los que todavía no tengo muy claro ciertos conceptos como para trabajarlos para otra persona, etc. En general, el objetivo 2 me costó bastante superarlo, además de no llevar muy claro el objetivo 1 de primeras, y sumado al poco tiempo que me dejaban las ADM bombardeando con plazos de entrega muy cerrados, ha provocado que la gran mayoría del curso haya estado varado en ese objetivo. Otro añadido es la desorganización que han tenido otras asignaturas que han aprovechado puentes para mandar todo su trabajo atrasado, haciendo que tampoco pueda aprovechar esas fechas para ponerme al día con IV","Git y GitHub, Desarrollo basado en test, Herramientas de construcción/gestores de tareas/gestores de dependencias, Conceptos de desarrollo ágil, Hacer revisiones de código, Buenas prácticas generales en programación, Criterios de selección de software","Las explicaciones cortas que se hacían al principio de clase, Seminarios cortos a principios de la asignatura, Reenvío sin límite de los objetivos, Ausencia de fecha límite de los envíos, Retroalimentación del profesor en los objetivos, Apoyo de los compañeros de clase y explicaciones de los mismos, Retroalimientación rápida sobre los objetivos, Tests que tienen que pasar los objetivos previos a la corrección., Seguimiento personalizado por parte del profesor, Las revisiones que se hacían en el PR github, a pesar de sufrirlas, me han venido bien porque tras muchas críticas, cuando hago un objetivo lo hago pensando en que me van a sacar pegas por todos lados e intento hacerlo un poco de manera más defensiva","Falta de conocimientos previos en los mismos., Falta de claridad en los enunciados de los objetivos de aprendizaje., Exigencias excesivas en la consecución de los objetivos., Carga de trabajo excesiva en otras asignaturas., El lenguaje elegido, habría necesitado más información para tomar esa decisión., El proyecto elegido, habría necesitado más información para tomar esa decisión, En el objetivo 2 tuve una carga de trabajo excesiva para ayudar a la persona que trabajaba en mi repositorio y/o falta de respuesta por parte de la misma, La ausencia de fecha límite es algo que en parte también me ha perjudicado por lo que dije en la primera respuesta, pero también me ha venido muy bien poder ir aprendiendo a mi ritmo, por lo que si hubiese tenido plazos de entrega, habría tenido igualmente otros problemas. Y el tema de lógica de negocio, y demás conceptos del objetivo 1 me han costado bastante entenderlos y me habría gustado machacarlos mejor o de otra manera.",5,5,Sí,7,,
20/12/2021 18:33:27,3,9,"Estoy trabajando/haciendo prácticas en una empresa de informática, Tengo asignaturas atrasadas de otros años","Git y GitHub, Desarrollo basado en test, Lenguaje de programación elegido en el proyecto, Herramientas de construcción/gestores de tareas/gestores de dependencias, Conceptos de desarrollo ágil, Buenas prácticas generales en programación","Explicaciones a grupos pequeños bajo demanda, Seminarios cortos a principios de la asignatura, Reenvío sin límite de los objetivos, Retroalimientación rápida sobre los objetivos, Seguimiento personalizado por parte del profesor, Clara aplicación práctica de los objetivos alcanzados, Saber en qué momento de la asignatura se superan los objetivos mínimos para aprobar","Falta de conocimientos previos en los mismos., Ausencia de fecha límite de entrega de los objetivos., Carga de trabajo excesiva en otras asignaturas., No ver una aplicación práctica real de los objetivos.",5,5,Sí,,,
16/12/2021 8:22:00,4,6,"Estoy trabajando/haciendo prácticas en una empresa de informática, No puedo asistir a clase de forma regular por cualquier circunstancia (no vivir en Granada, por ejemplo), La elección de proyecto es una decisión difícil que atrasé hasta principio de noviembre","Git y GitHub, Desarrollo basado en test, Lenguaje de programación elegido en el proyecto, Herramientas de construcción/gestores de tareas/gestores de dependencias, Trabajar con contenedores, Conceptos de desarrollo ágil, Hacer revisiones de código","Las explicaciones cortas que se hacían al principio de clase, Explicaciones a grupos pequeños bajo demanda, Reenvío sin límite de los objetivos, Ausencia de fecha límite de los envíos, Retroalimentación del profesor en los objetivos, Retroalimientación rápida sobre los objetivos, Saber en qué momento de la asignatura se superan los objetivos mínimos para aprobar","Demasiado tiempo en clase dedicado a contestar dudas de otras personas., El proyecto elegido, habría necesitado más información para tomar esa decisión, En el objetivo 2 no tuve retroalimentación adecuada por parte de la persona con la que trabajé., En el objetivo 2 tuve una carga de trabajo excesiva para ayudar a la persona que trabajaba en mi repositorio y/o falta de respuesta por parte de la misma",5,4,Sí,2,,
16/12/2021 8:49:14,4,10,Ninguno,"Git y GitHub, Herramientas de integración/despliegue continuo","Seminarios cortos a principios de la asignatura, Reenvío sin límite de los objetivos","Falta de conocimientos previos en los mismos., Exigencias excesivas en la consecución de los objetivos., El proyecto elegido, habría necesitado más información para tomar esa decisión, Falta de material para poder resolver los retos de los objetivos",4,4,No,6,,
